Year,Song Title,Artist,Secondary Artist,"Organization of Backbeat (2, 3)",Kick / Snare Rate (in BPM),"1st Level Subdivision (2, 3)","2nd Level Subdivision (0, 2, 3)",Tempo of Swung Layer
1970,"Baby, Baby (I Know You're A Lady)",David Houston,,2,85,2,3,170
1970,It's Just A Matter Of Time,Sonny James,,2,76,3,0,76
1970,Hello Darlin',Conway Twitty,,3,83,3,0,83
1970,Don't Keep Me Hangin' On,Sonny James,,3,113,3,0,113
1970,The Fightin' Side Of Me,Merle Haggard,,2,191,3,0,191
1970,My Love,Sonny James,,2,296,2,2,
1970,He Loves Me All The Way,Tammy Wynette,,2,173,3,0,173
1970,Endlessly,Sonny James,,2,296,2,2,
1970,A Week In A Country Jail,Tom T. Hall,,2,230,3,0,230
1970,Tennessee Bird Walk,Jack Blanchard,Misty Morgan,2,130,2,2,
1971,When You're Hot You're Hot,Jerry Reed,,2,101,2,2,
1971,Empty Arms,Sonny James,,2,88,3,0,88
1971,I'm Just Me,Charley Pride,,2,143,2,2,
1971,Kiss An Angel Good Mornin',Charley Pride,,2,132,2,2,
1971,Easy Loving,Freddie Hart,,2,91,2,2,
1971,Rose Garden,Lynn Anderson,,2,132,2,2,
1971,Help Me Make It Through The Night,Sammi Smith,,2,78,2,2,
1971,I'd Rather Love You,Charley Pride,,2,104,3,0,104
1971,I Won't Mention It Again,Ray Price,,2,80,3,0,80
1971,How Can I Unlove You,Lynn Anderson,,2,142,2,2,
1972,My Hang-Up Is You,Freddie Hart,,2,93,2,2,
1972,Carolyn,Merle Haggard,,2,93,2,2,
1972,Chantilly Lace,Jerry Lee Lewis,,2,186,2,2,
1972,The Happiest Girl In The Whole U.S.A.,Donna Fargo,,2,65,3,2,65
1972,It's Gonna Take A Little Bit Longer,Charley Pride,,2,156,2,2,
1972,She's Too Good To Be True,Charley Pride,,2,110,3,0,110
1972,Funny Face,Donna Fargo,,3,97,3,0,97
1972,Got The All Overs For You (All Over Me),Freddie Hart,,2,90,2,2,
1972,Grandma Harp,Merle Haggard,,2,206,2,2,
1972,Eleven Roses,Hank Williams Jr.,,2,94,2,2,
1973,Satin Sheets,Jeanne Pruett,,2,99,3,0,99
